City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,yellowknife,75,CA,1534543200,63,62.45,-114.38,64.4,11.41
1,banjar,32,ID,1534547433,91,-7.37,108.54,67.25,2.71
2,hermanus,0,ZA,1534547434,94,-34.42,19.24,30.08,2.59
3,new norfolk,20,AU,1534545000,65,-42.78,147.06,46.4,10.29
4,amambai,0,BR,1534547434,70,-23.11,-55.23,65.99,8.63
5,salgueiro,0,BR,1534547435,40,-8.07,-39.12,78.59,13.78
6,rikitea,64,PF,1534547436,100,-23.12,-134.97,70.94,5.17
7,bluff,0,AU,1534547335,23,-23.58,149.07,73.19,3.6
9,salalah,90,OM,1534542600,100,17.01,54.1,75.2,5.82
11,port elizabeth,1,US,1534546500,78,39.31,-74.98,89.6,4.7
12,hilo,40,US,1534545660,74,19.71,-155.08,84.2,9.17
13,richmond,20,CA,1534544100,72,49.16,-123.14,75.2,9.17
14,mount gambier,24,AU,1534547437,98,-37.83,140.78,46.73,9.98
15,sistranda,40,NO,1534546200,87,63.73,8.83,55.4,10.29
16,inzer,0,RU,1534547437,77,54.22,57.56,46.64,3.04
17,hobart,20,AU,1534545000,65,-42.88,147.33,46.4,10.29
18,henties bay,0,NA,1534547437,100,-22.12,14.28,51.32,3.15
19,bredasdorp,0,ZA,1534543200,100,-34.53,20.04,35.6,3.36
20,cayenne,0,GF,1534545000,83,4.94,-52.33,80.6,4.7
21,avera,1,US,1534545300,66,33.19,-82.53,87.8,8.05
22,pevek,88,RU,1534547438,100,69.7,170.27,45.47,4.16
23,punta arenas,20,CL,1534543200,80,-53.16,-70.91,35.6,20.8
24,vaini,88,IN,1534547438,98,15.34,74.49,69.32,8.97
25,nantucket,20,US,1534546140,94,41.28,-70.1,82.4,9.17
26,lasem,0,ID,1534547439,91,-6.99,112.52,75.08,5.17
28,mackay,1,CA,1534546800,47,53.65,-115.58,77,4.7
29,riachao do jacuipe,0,BR,1534547439,67,-11.81,-39.39,72.29,7.96
30,georgetown,75,GY,1534543200,94,6.8,-58.16,77,4.7
32,los llanos de aridane,44,ES,1534546800,69,28.66,-17.92,73.4,10.29
33,homer,75,US,1534542780,48,59.64,-151.54,60.8,5.82
34,olinda,20,EC,1534543200,58,-2.03,-79.75,84.2,9.17
35,mataura,0,NZ,1534547442,97,-46.19,168.86,46.91,4.61
36,nikolskoye,0,RU,1534545000,87,59.7,30.79,59,8.95
37,cidreira,0,BR,1534547303,77,-30.17,-50.22,59.69,15.68
38,adrar,0,DZ,1534543200,16,27.87,-0.29,98.6,4.7
39,busselton,0,AU,1534547442,100,-33.64,115.35,49.79,11.65
40,tuktoyaktuk,90,CA,1534543200,86,69.44,-133.03,37.4,21.92
41,katsina,76,NG,1534547443,97,12.99,7.6,69.23,9.98
42,castro,88,CL,1534547444,94,-42.48,-73.76,41.24,6.62
43,norman wells,90,CA,1534543200,66,65.28,-126.83,55.4,20.8
44,tabou,88,CI,1534547444,100,4.42,-7.36,78.14,14.79
45,orchard homes,1,US,1534546380,23,46.86,-114.05,84.2,6.93
46,dikson,68,RU,1534547444,100,73.51,80.55,41.96,19.37
47,saskylakh,64,RU,1534547444,99,71.97,114.09,49.52,11.32
48,avarua,75,CK,1534543200,73,-21.21,-159.78,77,9.17
49,ushuaia,75,AR,1534543200,93,-54.81,-68.31,37.4,17.22
50,saint-philippe,90,CA,1534546500,88,45.36,-73.48,75.2,4.7
51,clyde river,75,CA,1534543200,93,70.47,-68.59,41,14.99
52,east london,64,ZA,1534547445,100,-33.02,27.91,57.26,16.35
53,mahebourg,40,MU,1534543200,68,-20.41,57.7,71.6,16.11
54,keti bandar,92,PK,1534547445,99,24.14,67.45,80.66,21.05
55,westport,92,IE,1534547386,96,53.8,-9.52,59.33,18.81
57,kapaa,40,US,1534542960,74,22.08,-159.32,84.2,13.87
58,meulaboh,44,ID,1534547446,100,4.14,96.13,75.62,5.17
59,sao joaquim,0,BR,1534547446,89,-28.29,-49.93,42.23,3.38
60,san juan,8,AR,1534547447,77,-31.54,-68.53,52.94,1.81
61,mackenzie,1,CA,1534543200,22,55.34,-123.09,77,12.75
62,thompson,75,CA,1534543200,59,55.74,-97.86,66.2,8.05
63,faya,0,SA,1534543200,60,18.39,42.45,71.6,3.71
64,shimanovsk,88,RU,1534547448,87,52,127.67,61.58,6.29
66,provideniya,0,RU,1534547448,88,64.42,-173.23,51.59,10.31
68,zamora,0,ES,1534546800,72,41.51,-5.74,59,11.41
69,severo-kurilsk,92,RU,1534547449,97,50.68,156.12,52.49,23.51
70,khatanga,92,RU,1534547449,95,71.98,102.47,51.68,11.65
71,kodiak,20,US,1534546380,62,39.95,-94.76,86,8.05
72,pochutla,90,MX,1534542300,70,15.74,-96.47,86,11.41
73,albany,75,US,1534545900,83,42.65,-73.75,80.6,11.41
74,talcahuano,75,CL,1534543200,87,-36.72,-73.12,53.6,9.17
75,tual,36,ID,1534547449,98,-5.67,132.75,79.31,16.24
76,tuatapere,0,NZ,1534547450,100,-46.13,167.69,45.83,3.94
77,vila franca do campo,20,PT,1534545000,83,37.72,-25.43,73.4,3.36
78,barrow,8,AR,1534547316,56,-38.31,-60.23,58.79,14.12
79,airai,0,TL,1534547349,83,-8.93,125.41,69.95,1.92
80,labuhan,0,ID,1534547450,83,-2.54,115.51,74.09,2.93
82,mercedes,0,UY,1534547450,75,-33.25,-58.03,62.39,8.08
83,jamestown,80,AU,1534547451,76,-33.21,138.6,46.46,18.81
85,surgut,0,RU,1534545000,93,61.25,73.4,55.4,13.42
86,acapulco,75,MX,1534542660,70,16.86,-99.88,87.8,5.82
87,saint anthony,1,US,1534542960,15,43.97,-111.68,87.8,5.39
88,atuona,88,PF,1534547330,100,-9.8,-139.03,77.69,17.47
89,voh,48,NC,1534547452,95,-20.95,164.69,71.48,4.72
90,hithadhoo,80,MV,1534547452,100,-0.6,73.08,79.67,10.87
91,mandera,92,ET,1534547452,68,3.94,41.86,76.07,13.78
92,nanortalik,88,GL,1534547452,97,60.14,-45.24,42.59,16.8
93,ponta do sol,88,BR,1534547452,96,-20.63,-46,57.98,2.26
94,vaitape,36,PF,1534547453,100,-16.52,-151.75,78.95,13.78
95,port moresby,75,PG,1534543200,100,-9.47,147.16,77,17.22
96,emerald,0,AU,1534547453,30,-23.53,148.16,71.66,4.61
97,tigre,0,AR,1534543200,82,-34.42,-58.58,62.6,4.7
98,road town,75,VG,1534543200,79,18.42,-64.62,84.2,10.29
99,butaritari,76,KI,1534547453,100,3.07,172.79,85.34,8.52
100,sosua,40,DO,1534543200,74,19.77,-70.52,87.8,11.41
101,nome,1,US,1534546500,55,30.04,-94.42,95,9.17
104,faanui,68,PF,1534547454,100,-16.48,-151.75,78.05,15.23
106,pervomayskoye,0,RU,1534547454,83,57.07,86.23,55.37,2.82
107,arraial do cabo,40,BR,1534543200,88,-22.97,-42.02,66.2,1.12
108,brezova,0,HR,1534546800,88,46.05,15.93,66.2,3.36
109,bilma,0,NE,1534547455,68,18.69,12.92,78.86,8.63
110,huarmey,8,PE,1534547455,67,-10.07,-78.15,64.91,3.6
111,monduli,0,TZ,1534547455,83,-3.3,36.45,54.29,5.17
